continent,continentCode,country,countryCode,primaryHEX,primaryRGB,primaryHSL,primaryCSS,secondaryHEX,secondaryRGB,secondaryHSL,secondaryCSS,secondaryNotes
Asia,AS,Sri Lanka,LKA,#8e0e37/#ffc025/#00524d/#ec7400,"rgb(142,14,55)/rgb(255,192,37)/rgb(0,82,77)/rgb(236,116,0)","hsl(341,82%,31%)/hsl(43,100%,57%)/hsl(176,100%,16%)/hsl(29,100%,46%)",brown/gold/darkslategray/darkorange,#15295e,"rgb(21,41,94)","hsl(224,64%,23%)",midnightblue,Color used by the Sri Lanka national cricket team.
Africa,AF,Sudan,SDN,#d30731/#ffffff/#000000/#007225,"rgb(211,7,49)/rgb(255,255,255)/rgb(0,0,0)/rgb(0,114,37)","hsl(348,94%,43%)/hsl(0,0%,100%)/hsl(0,0%,0%)/hsl(139,100%,22%)",crimson/white/black/darkgreen,,,,,
South America,SA,Suriname,SUR,#347f3d/#ffffff/#b60329/#edca17,"rgb(52,127,61)/rgb(255,255,255)/rgb(182,3,41)/rgb(237,202,23)","hsl(127,42%,35%)/hsl(0,0%,100%)/hsl(347,97%,36%)/hsl(50,86%,51%)",seagreen/white/firebrick/gold,,,,,
Europe,EU,Svalbard and Jan Mayen,SJM,#f02729/#ffffff/#002468,"rgb(240,39,41)/rgb(255,255,255)/rgb(0,36,104)","hsl(359,87%,55%)/hsl(0,0%,100%)/hsl(219,100%,20%)",crimson/white/midnightblue,,,,,
Europe,EU,Sweden,SWE,#006aa8/#fecd00,"rgb(0,106,168)/rgb(254,205,0)","hsl(202,100%,33%)/hsl(48,100%,50%)",darkcyan/gold,,,,,
Europe,EU,Switzerland,CHE,#ff0000/#ffffff,"rgb(255,0,0)/rgb(255,255,255)","hsl(0,100%,50%)/hsl(0,0%,100%)",red/white,,,,,
Asia,AS,Syria,SYR,#cf0921/#ffffff/#000000/#007a3b,"rgb(207,9,33)/rgb(255,255,255)/rgb(0,0,0)/rgb(0,122,59)","hsl(353,92%,42%)/hsl(0,0%,100%)/hsl(0,0%,0%)/hsl(149,100%,24%)",crimson/white/black/forestgreen,,,,,
Asia,AS,Taiwan,TWN,#fe0000/#000096/#ffffff,"rgb(254,0,0)/rgb(0,0,150)/rgb(255,255,255)","hsl(0,100%,50%)/hsl(240,100%,29%)/hsl(0,0%,100%)",red/darkblue/white,#43b3ae,"rgb(67,179,174)","hsl(177,46%,48%)",lightseagreen,Color used in university sports.
Asia,AS,Tajikistan,TJK,#cd0000/#ffffff/#006600/#f8c500,"rgb(205,0,0)/rgb(255,255,255)/rgb(0,102,0)/rgb(248,197,0)","hsl(0,100%,40%)/hsl(0,0%,100%)/hsl(120,100%,20%)/hsl(48,100%,49%)",red/white/darkgreen/gold,,,,,
Africa,AF,Tanzania,TZA,#18b737/#fcd20f/#00a4de/#000000,"rgb(24,183,55)/rgb(252,210,15)/rgb(0,164,222)/rgb(0,0,0)","hsl(132,77%,41%)/hsl(49,98%,52%)/hsl(196,100%,44%)/hsl(0,0%,0%)",limegreen/gold/deepskyblue/black,,,,,
Asia,AS,Thailand,THA,#a6122e/#f4f5f8/#292648,"rgb(166,18,46)/rgb(244,245,248)/rgb(41,38,72)","hsl(349,80%,36%)/hsl(225,22%,97%)/hsl(245,31%,22%)",firebrick/whitesmoke/darkslategray,#2a7fff/#bc82cf/#ffe000,"rgb(42,127,255)/rgb(188,130,207)/rgb(255,224,0)","hsl(216,100%,58%)/hsl(285,45%,66%)/hsl(53,100%,50%)",dodgerblue/orchid/gold,Colors used in the royal flags of Thailand.
Asia,AS,Tibet,TIB,#db2016/#250f6f/#f4e202/#3f9657,"rgb(219,32,22)/rgb(37,15,111)/rgb(244,226,2)/rgb(63,150,87)","hsl(3,82%,47%)/hsl(254,76%,25%)/hsl(56,98%,48%)/hsl(137,41%,42%)",crimson/midnightblue/gold/seagreen,,,,,
Asia,AS,Timor-Leste,TLS,#dd1f19/#ffc821/#000000/#ffffff,"rgb(221,31,25)/rgb(255,200,33)/rgb(0,0,0)/rgb(255,255,255)","hsl(2,80%,48%)/hsl(45,100%,57%)/hsl(0,0%,0%)/hsl(0,0%,100%)",crimson/gold/black/white,,,,,
Africa,AF,Togo,TGO,#006a4d/#ffcf00/#d30731/#ffffff,"rgb(0,106,77)/rgb(255,207,0)/rgb(211,7,49)/rgb(255,255,255)","hsl(164,100%,21%)/hsl(49,100%,50%)/hsl(348,94%,43%)/hsl(0,0%,100%)",darkslategray/gold/crimson/white,,,,,
Oceania,OC,Tokelau,TKL,#001c69/#ffd200/#ffffff,"rgb(0,28,105)/rgb(255,210,0)/rgb(255,255,255)","hsl(224,100%,21%)/hsl(49,100%,50%)/hsl(0,0%,100%)",midnightblue/gold/white,,,,,
Oceania,OC,Tonga,TON,#c20000/#ffffff,"rgb(194,0,0)/rgb(255,255,255)","hsl(0,100%,38%)/hsl(0,0%,100%)",firebrick/white,,,,,
